IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
104.19.84.52,4,4,0.00,149.91,17.78
104.18.125.99,4,4,0.00,152.31,10.85
104.21.226.16,4,4,0.00,152.41,0.08
172.64.40.241,4,4,0.00,153.05,0.00
104.19.87.129,4,4,0.00,153.90,0.00
104.19.255.151,4,4,0.00,155.52,0.00
104.19.135.40,4,4,0.00,155.73,0.00
162.159.38.157,4,4,0.00,156.49,0.00
162.159.39.73,4,4,0.00,158.58,0.00
104.19.131.5,4,4,0.00,160.41,0.00
104.19.26.186,4,4,0.0,133.0,32.27
104.17.20.50,4,4,0.0,132.0,30.41
104.19.43.84,4,4,0.0,139.0,28.37
